time,kf_x,odom_x
1751034066.991300,0.000000,0.000000
1751034067.015575,0.000000,0.000000
1751034067.039266,0.000000,0.000000
1751034067.062328,0.000000,0.000000
1751034067.087535,0.000000,0.000000
1751034067.108840,0.000000,0.000000
1751034067.130878,0.000000,0.000000
1751034067.156834,0.000000,0.000000
1751034067.180682,0.000000,0.000000
1751034067.203485,0.000000,0.000000
1751034067.227037,0.000000,0.000000
1751034067.249308,0.000000,0.000000
1751034067.272237,0.000000,0.000000
1751034067.293401,0.000000,0.000000
1751034067.316292,0.000000,0.000000
1751034067.340150,0.000000,0.000000
1751034067.363745,0.000000,0.000000
1751034067.386883,0.000000,0.000000
1751034067.409821,0.000000,0.000000
1751034067.432324,0.000000,0.000000
1751034067.454070,0.000000,0.000000
1751034067.476207,0.000000,0.000000
1751034067.498331,0.000000,0.000000
1751034067.521951,0.000000,0.000000
1751034067.544084,0.000000,0.000000
1751034067.566566,0.000000,0.000000
1751034067.591260,0.000000,0.000000
1751034067.613808,0.000000,0.000000
1751034067.636024,0.000000,0.000000
1751034067.658510,0.000000,0.000000
1751034067.680931,0.000000,0.000000
1751034067.703063,0.000000,0.000000
1751034067.725585,0.000000,0.000000
1751034067.748003,0.000000,0.000000
1751034067.769901,0.000000,0.000000
1751034067.792035,0.000000,0.000000
1751034067.814525,0.000000,0.000000
1751034067.836371,0.000000,0.000000
1751034067.858345,0.000000,0.000000
1751034067.880494,0.000000,0.000000
1751034067.903896,0.000000,0.000000
1751034067.926647,0.000000,0.000000
1751034067.949137,0.000000,0.000000
1751034067.972011,0.000000,0.000000
1751034067.994733,0.000000,0.000000
1751034068.017060,0.000000,0.000000
1751034068.040525,0.000000,0.000000
1751034068.062965,0.000000,0.000000
1751034068.085125,0.000000,0.000000
1751034068.107081,0.000000,0.000000
1751034068.130691,0.000000,0.000000
1751034068.153957,0.000000,0.000000
1751034068.176647,0.000000,0.000000
1751034068.199782,0.000000,0.000000
1751034068.222850,0.000000,0.000000
1751034068.246918,0.000000,0.000000
1751034068.271275,0.000000,0.000000
1751034068.295541,0.000000,0.000000
1751034068.320220,0.000000,0.000000
1751034068.344110,0.000000,0.000000
1751034068.365819,0.000000,0.000000
1751034068.388729,0.000000,0.000000
1751034068.412287,0.000000,0.000000
1751034068.436535,0.000000,0.000000
1751034068.460127,0.000000,0.000000
1751034068.485038,0.000000,0.000000
1751034068.509967,0.000000,0.000000
1751034068.531854,0.000000,0.000000
1751034068.555409,0.000000,0.000000
1751034068.577263,0.000000,0.000000
1751034068.598153,0.000000,0.000000
1751034068.620552,0.000000,0.000000
1751034068.641961,0.000000,0.000000
1751034068.664100,0.000000,0.000000
1751034068.685779,0.000000,0.000000
1751034068.708559,0.000000,0.000000
1751034068.732353,0.000000,0.000000
1751034068.754774,0.000000,0.000000
1751034068.776833,0.000000,0.000000
1751034068.799053,0.000000,0.000000
1751034068.821135,0.000000,0.000000
1751034068.843410,0.000000,0.000000
1751034068.866080,0.000000,0.000000
1751034068.887888,0.000000,0.000000
1751034068.909080,0.000000,0.000000
1751034068.932961,0.000000,0.000000
1751034068.956795,0.000000,0.000000
1751034068.979193,0.000000,0.000000
1751034069.001411,0.000000,0.000000
1751034069.024400,0.000000,0.000000
1751034069.047794,0.000000,0.000000
1751034069.071011,0.000000,0.000000
1751034069.094068,0.000000,0.000000
1751034069.116613,0.000000,0.000000
1751034069.140735,0.000000,0.000000
1751034069.165436,0.000000,0.000000
1751034069.191900,0.000000,0.000000
1751034069.215212,0.000000,0.000000
1751034069.237854,0.000000,0.000000
1751034069.261046,0.000000,0.000000
1751034069.284212,0.000000,0.000000
1751034069.305672,0.000000,0.000000
1751034069.327445,0.000000,0.000000
1751034069.350233,0.000000,0.000000
1751034069.373499,0.000000,0.000000
1751034069.395656,0.000000,0.000000
1751034069.419147,0.000000,0.000000
1751034069.443472,0.000000,0.000000
1751034069.466514,0.000000,0.000000
1751034069.488438,0.000000,0.000000
1751034069.511575,0.000000,0.000000
1751034069.533742,0.000000,0.000000
1751034069.556972,0.000000,0.000000
1751034069.580884,0.000000,0.000000
1751034069.602917,0.000000,0.000000
1751034069.625687,0.000000,0.000000
1751034069.649074,0.000000,0.000000
1751034069.671747,0.000000,0.000000
1751034069.695156,0.000000,0.000085
1751034069.723466,0.000059,0.000225
1751034069.748949,0.000135,0.000470
1751034069.772472,0.000260,0.000795
1751034069.798116,0.000487,0.001198
1751034069.824502,0.000796,0.001696
1751034069.851038,0.001171,0.002290
1751034069.877476,0.001622,0.002970
1751034069.904512,0.002223,0.003735
1751034069.931767,0.002956,0.004585
1751034069.957600,0.003585,0.005530
1751034069.984566,0.004546,0.006555
1751034070.008337,0.004970,0.007661
1751034070.034146,0.005882,0.008860
1751034070.062409,0.007484,0.010150
1751034070.093891,0.010037,0.011535
1751034070.123418,0.012074,0.013015
1751034070.151039,0.013578,0.014600
1751034070.182802,0.016645,0.016260
1751034070.210906,0.018370,0.018045
1751034070.238989,0.020202,0.019920
1751034070.267537,0.022359,0.021875
1751034070.294890,0.024060,0.023935
1751034070.323714,0.026641,0.026095
1751034070.351124,0.028584,0.028340
1751034070.378120,0.030440,0.030685
1751034070.407208,0.033738,0.033115
1751034070.431779,0.034281,0.035645
1751034070.459660,0.037265,0.038248
1751034070.487098,0.040045,0.040948
1751034070.512272,0.041291,0.043745
1751034070.537783,0.043035,0.046630
1751034070.567461,0.048233,0.049590
1751034070.594898,0.051585,0.052660
1751034070.625662,0.057851,0.055810
1751034070.653779,0.061715,0.059065
1751034070.684891,0.068396,0.062410
1751034070.716174,0.075114,0.065870
1751034070.746647,0.080958,0.069430
1751034070.775749,0.085441,0.073080
1751034070.807141,0.092395,0.076840
1751034070.835017,0.095546,0.080700
1751034070.863416,0.099544,0.084650
1751034070.890615,0.102395,0.088700
1751034070.921373,0.109732,0.092830
1751034070.950168,0.114626,0.097075
1751034070.977703,0.118144,0.101420
1751034071.004816,0.121414,0.105820
1751034071.031846,0.124897,0.110220
1751034071.057636,0.127049,0.114620
1751034071.083061,0.129137,0.119020
1751034071.108615,0.131823,0.123420
1751034071.131955,0.131839,0.127820
1751034071.157698,0.135812,0.132220
1751034071.183275,0.139764,0.136620
1751034071.208885,0.143976,0.141020
1751034071.233033,0.146297,0.145420
1751034071.258204,0.150455,0.149820
1751034071.285774,0.158226,0.154220
1751034071.312304,0.164282,0.158620
1751034071.339124,0.170730,0.163020
1751034071.364036,0.174345,0.167420
1751034071.389649,0.179220,0.171820
1751034071.413995,0.182348,0.176220
1751034071.439361,0.187255,0.180620
1751034071.464973,0.192610,0.185020
1751034071.490624,0.198057,0.189420
1751034071.516934,0.204496,0.193820
1751034071.544368,0.212497,0.198220
1751034071.568144,0.214872,0.202620
1751034071.595084,0.222271,0.207020
1751034071.620083,0.226620,0.211420
1751034071.645419,0.231617,0.215820
1751034071.671061,0.237141,0.220220
1751034071.694645,0.239647,0.224620
1751034071.716958,0.240632,0.229020
1751034071.739178,0.241994,0.233420
1751034071.761445,0.243892,0.237820
1751034071.785130,0.248275,0.242220
1751034071.806326,0.249094,0.246620
1751034071.828879,0.252421,0.251020
1751034071.849639,0.253317,0.255420
1751034071.873705,0.259579,0.259820
1751034071.895537,0.262412,0.264220
1751034071.917126,0.265148,0.268620
1751034071.938981,0.268540,0.273020
1751034071.963219,0.275641,0.277420
1751034071.985481,0.279587,0.281820
1751034072.009431,0.286155,0.286220
1751034072.031913,0.290382,0.290620
1751034072.054824,0.295337,0.295020
1751034072.076292,0.298171,0.299420
1751034072.098747,0.302712,0.303820
1751034072.121585,0.307872,0.308220
1751034072.144457,0.313066,0.312620
1751034072.167408,0.318354,0.317020
1751034072.189122,0.321781,0.321420
1751034072.212298,0.327549,0.325820
1751034072.234988,0.332510,0.330220
1751034072.257720,0.337537,0.334620
1751034072.280945,0.343289,0.339020
1751034072.302753,0.346860,0.343420
1751034072.326582,0.353583,0.347820
1751034072.349033,0.358073,0.352220
1751034072.371000,0.361905,0.356620
1751034072.392943,0.365835,0.361020
1751034072.415661,0.371029,0.365420
1751034072.437022,0.374191,0.369820
1751034072.459444,0.379124,0.374220
1751034072.481796,0.383953,0.378620
1751034072.503779,0.388248,0.383020
1751034072.525894,0.392811,0.387420
1751034072.548575,0.398250,0.391820
1751034072.570941,0.403163,0.396220
1751034072.595054,0.410660,0.400620
1751034072.618739,0.417236,0.405020
1751034072.640726,0.421122,0.409420
1751034072.663045,0.425624,0.413820
1751034072.684459,0.428842,0.418220
1751034072.708377,0.435958,0.422620
1751034072.730252,0.439809,0.427020
1751034072.753438,0.445725,0.431420
1751034072.776119,0.450789,0.435820
1751034072.797798,0.454360,0.440220
1751034072.819348,0.457899,0.444620
1751034072.843560,0.465531,0.449020
1751034072.866056,0.470323,0.453420
1751034072.888261,0.474706,0.457820
1751034072.912486,0.482140,0.462220
1751034072.935071,0.486873,0.466620
1751034072.957062,0.490758,0.471020
1751034072.979433,0.495331,0.475420
1751034073.001297,0.499201,0.479820
1751034073.024010,0.504450,0.484220
1751034073.046914,0.509947,0.488620
1751034073.069208,0.514483,0.493020
1751034073.091890,0.519641,0.497420
1751034073.114432,0.524569,0.501820
1751034073.136771,0.529202,0.506220
1751034073.159017,0.533734,0.510620
1751034073.181046,0.537993,0.515020
1751034073.203273,0.542622,0.519420
1751034073.225014,0.546567,0.523820
1751034073.247030,0.551030,0.528220
1751034073.269783,0.556631,0.532620
1751034073.292138,0.561566,0.537020
1751034073.314668,0.566758,0.541420
1751034073.337365,0.572165,0.545820
1751034073.360460,0.578106,0.550220
1751034073.383747,0.584218,0.554620
1751034073.407343,0.590656,0.559020
1751034073.429931,0.595440,0.563420
1751034073.452551,0.600296,0.567820
1751034073.475071,0.605020,0.572220
1751034073.498811,0.611577,0.576620
1751034073.521842,0.616911,0.581020
1751034073.545477,0.623102,0.585420
1751034073.568577,0.628371,0.589820
1751034073.591713,0.633671,0.594220
1751034073.613829,0.637432,0.598620
1751034073.636339,0.641923,0.603020
1751034073.659880,0.647999,0.607420
1751034073.682418,0.652474,0.611820
1751034073.705113,0.657244,0.616220
1751034073.727503,0.661592,0.620620
1751034073.750170,0.666427,0.625020
1751034073.771807,0.669759,0.629420
1751034073.793803,0.673810,0.633820
1751034073.816062,0.678353,0.638220
1751034073.837878,0.682289,0.642620
1751034073.860484,0.687505,0.647020
1751034073.883166,0.692803,0.651420
1751034073.905818,0.698014,0.655820
1751034073.928851,0.703760,0.660220
1751034073.951190,0.708391,0.664620
1751034073.974170,0.714005,0.669020
1751034073.997097,0.719468,0.673420
1751034074.019250,0.723732,0.677820
1751034074.043352,0.730957,0.682220
1751034074.066938,0.737167,0.686620
1751034074.091599,0.744832,0.691020
1751034074.113997,0.748855,0.695420
1751034074.136466,0.753102,0.699820
1751034074.158637,0.757000,0.704220
1751034074.181268,0.761709,0.708620
1751034074.204132,0.766796,0.713020
1751034074.226485,0.771121,0.717420
1751034074.249054,0.775843,0.721820
1751034074.274793,0.785284,0.726220
1751034074.298217,0.790805,0.730620
1751034074.320990,0.795314,0.735020
1751034074.343233,0.799107,0.739420
1751034074.365575,0.803190,0.743820
1751034074.388998,0.808981,0.748220
1751034074.411259,0.812970,0.752620
1751034074.433427,0.816941,0.757020
1751034074.455456,0.820826,0.761420
1751034074.477942,0.825515,0.765820
1751034074.501172,0.831336,0.770220
1751034074.523556,0.835813,0.774620
1751034074.546314,0.840903,0.779020
1751034074.570297,0.847791,0.783420
1751034074.593177,0.852838,0.787820
1751034074.615244,0.856680,0.792220
1751034074.637428,0.860828,0.796620
1751034074.659615,0.865078,0.801020
1751034074.681796,0.869402,0.805420
1751034074.705120,0.875490,0.809820
1751034074.727229,0.879655,0.814220
1751034074.750351,0.885409,0.818620
1751034074.774241,0.892212,0.823020
1751034074.798849,0.899871,0.827420
1751034074.823266,0.906952,0.831820
1751034074.845877,0.911138,0.836220
1751034074.867923,0.914593,0.840620
1751034074.890547,0.919087,0.845020
1751034074.913247,0.923756,0.849420
1751034074.936453,0.929217,0.853820
1751034074.960639,0.936078,0.858220
1751034074.982896,0.939886,0.862620
1751034075.005227,0.943946,0.867020
1751034075.027289,0.947721,0.871420
1751034075.049750,0.952227,0.875820
1751034075.073575,0.958809,0.880220
1751034075.095980,0.963113,0.884620
1751034075.117794,0.966627,0.889020
1751034075.140700,0.971924,0.893420
1751034075.162536,0.975605,0.897820
1751034075.186140,0.982048,0.902220
1751034075.208742,0.986844,0.906620
1751034075.231138,0.991360,0.911020
1751034075.253355,0.995666,0.915420
1751034075.276538,1.001476,0.919820
1751034075.300027,1.007644,0.924220
1751034075.322866,1.012721,0.928620
1751034075.346543,1.019029,0.933020
1751034075.369529,1.024171,0.937420
1751034075.391167,1.027309,0.941820
1751034075.416126,1.035569,0.946220
1751034075.437982,1.038878,0.950620
1751034075.460975,1.044065,0.955020
1751034075.482331,1.046816,0.959420
1751034075.505062,1.051855,0.963820
1751034075.527482,1.056430,0.968220
1751034075.550858,1.062465,0.972620
1751034075.574484,1.068753,0.977020
1751034075.595943,1.071693,0.981420
1751034075.618210,1.076062,0.985820
1751034075.641254,1.081649,0.990220
1751034075.664185,1.087002,0.994620
1751034075.686312,1.091125,0.999020
1751034075.708835,1.095932,1.003420
1751034075.731347,1.100742,1.007820
1751034075.752892,1.104140,1.012220
1751034075.774831,1.108299,1.016620
1751034075.796535,1.112199,1.021020
1751034075.819943,1.118303,1.023440
1751034075.842283,1.122502,1.023440
1751034075.867798,1.129746,1.023440
1751034075.890511,1.132950,1.023440
1751034075.913700,1.136150,1.023440
1751034075.936208,1.138395,1.023440
1751034075.959094,1.140613,1.023440
1751034075.981907,1.142494,1.023440
1751034076.003997,1.143778,1.023440
1751034076.026700,1.145187,1.023440
1751034076.050993,1.146989,1.023440
1751034076.073989,1.148089,1.023440
1751034076.096366,1.148872,1.023440
1751034076.118950,1.149616,1.023440
1751034076.141010,1.150160,1.023440
1751034076.163286,1.150687,1.023440
1751034076.185348,1.151119,1.023440
1751034076.205787,1.151283,1.023440
1751034076.227785,1.151637,1.023440
1751034076.250623,1.152034,1.023440
1751034076.272539,1.152292,1.023440
1751034076.294781,1.152544,1.023440
1751034076.319089,1.152901,1.023440
1751034076.341736,1.153102,1.023440
1751034076.363671,1.153240,1.023440
1751034076.387027,1.153425,1.023440
1751034076.409418,1.153545,1.023440
1751034076.432054,1.153658,1.023440
1751034076.453466,1.153721,1.023440
1751034076.475259,1.153788,1.023440
1751034076.497688,1.153862,1.023440
1751034076.520581,1.153935,1.023440
1751034076.543800,1.154002,1.023440
1751034076.565862,1.154043,1.023440
1751034076.588268,1.154083,1.023440
1751034076.610160,1.154113,1.023440
1751034076.632411,1.154142,1.023440
1751034076.654629,1.154168,1.023440
1751034076.677629,1.154195,1.023440
1751034076.700564,1.154219,1.023440
1751034076.722425,1.154233,1.023440
1751034076.744776,1.154248,1.023440
1751034076.767356,1.154262,1.023440
1751034076.790095,1.154274,1.023440
1751034076.812324,1.154284,1.023440
1751034076.835184,1.154293,1.023440
1751034076.857340,1.154300,1.023440
1751034076.879453,1.154306,1.023440
1751034076.902992,1.154314,1.023440
1751034076.925663,1.154319,1.023440
1751034076.948073,1.154323,1.023440
1751034076.969732,1.154325,1.023440
1751034076.992170,1.154329,1.023440
1751034077.014504,1.154331,1.023440
1751034077.037560,1.154334,1.023440
1751034077.059535,1.154336,1.023440
1751034077.082529,1.154338,1.023440
1751034077.107066,1.154341,1.023440
1751034077.129049,1.154342,1.023440
1751034077.151016,1.154343,1.023440
1751034077.173472,1.154344,1.023385
1751034077.197532,1.154324,1.023285
1751034077.222069,1.154282,1.023185
1751034077.244903,1.154245,1.023085
1751034077.267843,1.154147,1.022960
1751034077.289899,1.154098,1.022760
1751034077.311827,1.154034,1.022560
1751034077.333983,1.153947,1.022360
1751034077.355768,1.153857,1.022160
1751034077.378726,1.153706,1.021960
1751034077.401660,1.153544,1.021760
1751034077.423939,1.153404,1.021560
1751034077.447484,1.153190,1.021360
1751034077.469773,1.153038,1.021160
1751034077.493226,1.152814,1.020960
1751034077.516619,1.152590,1.020760
1751034077.540875,1.152316,1.020560
1751034077.564603,1.152075,1.020360
1751034077.586922,1.151918,1.020160
1751034077.609640,1.151729,1.019960
1751034077.632159,1.151547,1.019760
1751034077.654140,1.151393,1.019560
1751034077.681028,1.150922,1.019290
1751034077.706323,1.150554,1.018935
1751034077.733317,1.149982,1.018505
1751034077.756753,1.149671,1.017980
1751034077.780257,1.149359,1.017380
1751034077.810102,1.148279,1.016695
1751034077.835845,1.147666,1.015910
1751034077.862984,1.146776,1.015055
1751034077.890449,1.145754,1.014085
1751034077.914167,1.145349,1.013040
1751034077.943781,1.143573,1.011905
1751034077.967932,1.142984,1.010685
1751034077.995119,1.141568,1.009385
1751034078.023119,1.139755,1.007975
1751034078.048821,1.138668,1.006475
1751034078.076034,1.136969,1.004890
